1.302083333333333261e-03 7.147827772229765287e+03 5.744275499935920948e+01 2.501739720280418169e+02 1.000000000000000000e+00
1.736111111111111015e-03 5.946132409958127027e+03 5.490681106690935565e+01 2.081146343485344516e+02 1.000000000000000000e+00
2.604166666666666522e-03 4.540505549767748562e+03 5.708471402674376804e+01 1.589176942418712031e+02 1.000000000000000000e+00
3.472222222222222029e-03 3.947359622672715886e+03 5.554883094345396444e+01 1.381575867935450788e+02 1.000000000000000000e+00
5.208333333333333044e-03 4.202468054145762835e+03 5.017860304906383817e+01 1.470863818951017095e+02 1.000000000000000000e+00
6.944444444444444059e-03 3.797367030217751108e+03 4.924050532437549066e+01 1.329078460576212990e+02 1.000000000000000000e+00
1.041666666666666609e-02 3.427158092126474003e+03 4.270373669599798205e+01 1.199505332244266071e+02 1.000000000000000000e+00
1.388888888888888812e-02 3.198805140143334938e+03 4.099764235401943324e+01 1.119581799050167348e+02 1.000000000000000000e+00
2.083333333333333218e-02 3.116949356525732128e+03 3.378824283731773193e+01 1.090932274784006353e+02 1.000000000000000000e+00
2.777777777777777624e-02 3.461179481118163494e+03 3.005361680568666216e+01 1.211412818391357291e+02 1.000000000000000000e+00
4.166666666666666435e-02 4.515257605730246723e+03 2.591682001773106592e+01 1.580340162005586535e+02 1.000000000000000000e+00
5.555555555555555247e-02 5.725184589941123704e+03 2.504399320238437099e+01 2.003814606479393490e+02 1.000000000000000000e+00
8.333333333333332871e-02 7.367727267489032783e+03 2.656331318602213543e+01 2.578704543621161633e+02 1.000000000000000000e+00
1.111111111111111049e-01 8.307210821846749241e+03 2.566652738140302148e+01 2.907523787646362621e+02 1.000000000000000000e+00
1.666666666666666574e-01 1.116663632855743708e+04 2.943081965586394944e+01 3.908322714995103411e+02 1.000000000000000000e+00
2.222222222222222099e-01 1.267825858950470138e+04 3.278391534822310405e+01 4.437390506326646005e+02 1.000000000000000000e+00
3.333333333333333148e-01 1.359651032734095861e+04 3.704204173327971716e+01 4.758778614569336014e+02 1.000000000000000000e+00
4.444444444444444198e-01 1.423896307925032306e+04 4.002719824645791391e+01 4.983637077737613481e+02 1.000000000000000000e+00
6.666666666666666297e-01 1.386595098539669561e+04 4.501303186419568902e+01 4.853082844888843965e+02 1.000000000000000000e+00
8.888888888888888395e-01 1.342496989444821156e+04 4.835527606743269757e+01 4.698739463056874683e+02 1.000000000000000000e+00
1.333333333333333259e+00 1.238487368287749996e+04 5.179275170238538095e+01 4.334705789007125531e+02 1.000000000000000000e+00
1.777777777777777679e+00 1.153030759771253724e+04 5.463202809690760375e+01 4.035607659199388308e+02 1.000000000000000000e+00
2.666666666666666519e+00 1.023675770567187465e+04 5.493955325088677455e+01 3.582865196985156331e+02 1.000000000000000000e+00
3.554923569143263684e+00 9.895049196409478100e+03 5.468441782034085463e+01 3.463267218743317812e+02 1.000000000000000000e+00
5.333333333333333037e+00 8.677625476851191706e+03 5.562243436670571839e+01 3.037168916897917370e+02 1.000000000000000000e+00
7.112375533428164864e+00 7.901213144134386312e+03 5.528369404727552450e+01 2.765424600447035459e+02 1.000000000000000000e+00
